

1467740134.925140097  Node Startup
1467740135.689116954 INFO [rosbridge_websocket:141(<module>) [topics: /rosout] Rosbridge WebSocket server started on port 9090
1467740135.785325050 INFO [rosapi_node:175(<module>) [topics: /rosout] Rosapi started
1467740175.301454067 INFO [websocket_handler.py:74(open) [topics: /rosout] Client connected.  1 clients total.
1467740175.746051073 ERROR [protocol.py:363(log) [topics: /rosout] [Client 0] [id: subscribe:test:1] subscribe: Cannot infer topic type for topic test as it is not yet advertised
1467740382.696069002 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740382.792011022 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740382.892688989 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.000037908 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.087614059 INFO [websocket_handler.py:109(on_close) [topics: /rosout] Client disconnected. 0 clients total.
1467740383.091352939 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.191675901 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.291266918 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.390885114 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.504930973 INFO [websocket_handler.py:74(open) [topics: /rosout] Client connected.  1 clients total.
1467740383.491868972 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.593286037 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.690953016 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.792079925 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.891438007 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740383.992153882 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.036650896 ERROR [protocol.py:363(log) [topics: /rosout] [Client 1] [id: subscribe:test:1] subscribe: Cannot infer topic type for topic test as it is not yet advertised
1467740384.093518972 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.194580078 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.291155099 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.391722917 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.493004083 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.598062992 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.692796945 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.791418075 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.891134023 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740384.991661071 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.090984106 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.193170070 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.291188955 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.392123937 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.492604970 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.591252088 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.692092895 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.792678117 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740385.893196105 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.000658988 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.091156005 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.193082094 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.292098045 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.392817020 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740386.495594978 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
